customer_id,customer_fullname,customer_email,order_id,product_desc,product_quantity,product_class_code,subtotal
1,"Jennifer Wilson",jen_w@gmail.com,10050,"Cricket Set for Boys",1,2051,4500.00
1,"Jennifer Wilson",jen_w@gmail.com,10050,"Sams 21L Microwave Oven",1,2060,6880.00
1,"Jennifer Wilson",jen_w@gmail.com,10050,"HP ODC School Bag 2.5'",2,2059,1598.00
1,"Jennifer Wilson",jen_w@gmail.com,10011,"OnePlus 6 Smart Phone",1,2055,32500.00
1,"Jennifer Wilson",jen_w@gmail.com,10011,"Samsung Galaxy On6",2,2055,28000.00
1,"Jennifer Wilson",jen_w@gmail.com,10011,"KitchAsst Siphon Coffee Maker 500 ml",1,2060,1790.00
1,"Jennifer Wilson",jen_w@gmail.com,10001,"Sky LED 102 CM TV",1,2050,35000.00
1,"Jennifer Wilson",jen_w@gmail.com,10001,"Infant Sleepwear Blue",3,2052,750.00
1,"Jennifer Wilson",jen_w@gmail.com,10001,"Samsung Galaxy On6",1,2055,14000.00
1,"Jennifer Wilson",jen_w@gmail.com,10001,"Foldable Premium Chair",1,2058,4000.00
2,"Jackson Davis",dave_jack@gmail.com,10037,"Kasyo DJ-2100 Desktop Calculator",1,2056,338.00
2,"Jackson Davis",dave_jack@gmail.com,10037,"GreenWud Nova Pedestal Unit",1,2058,2500.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Sky LED 102 CM TV",1,2050,35000.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Cricket Set for Boys",2,2051,9000.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Remote Control Car",2,2051,5800.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Blossoms Lehenga Choli set",3,2052,9000.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Shell Fingertip Ball Pen",10,2056,250.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Ruf-n-Tuf Black PU Leather Belt",5,2052,1750.00
2,"Jackson Davis",dave_jack@gmail.com,10002,"Barbie Fab Gown Doll",2,2051,2000.00
2,"Jackson Davis",dave_jack@gmail.com,10002,"Doll House",2,2051,6000.00
2,"Jackson Davis",dave_jack@gmail.com,10002,"Samsung Galaxy On6",1,2055,14000.00
2,"Jackson Davis",dave_jack@gmail.com,10002,"Cindy HMPOC Pencil Box (Multicolor)",5,2056,400.00
2,"Jackson Davis",dave_jack@gmail.com,10002,"Kasyo DJ-2100 Desktop Calculator",4,2056,1352.00
2,"Jackson Davis",dave_jack@gmail.com,10002,"PK Copier A4 75 GSM White Paper Ream",2,2056,570.00
3,"Komal Choudhary",ch_komal@yahoo.co.IN,10046,"Samsung Galaxy On6",1,2055,14000.00
3,"Komal Choudhary",ch_komal@yahoo.co.IN,10040,"Logtech M244 Optical Mouse",1,2053,450.00
3,"Komal Choudhary",ch_komal@yahoo.co.IN,10040,"FLUFF Tote Travel Bag 35LTR",1,2059,3290.00
3,"Komal Choudhary",ch_komal@yahoo.co.IN,10007,Alchemist,20,2054,3000.00
3,"Komal Choudhary",ch_komal@yahoo.co.IN,10007,"Harry Potter",25,2054,6250.00
3,"Komal Choudhary",ch_komal@yahoo.co.IN,10007,"External Hard Disk 500 GB",1,2053,3500.00
